"","true","estimated","last2","last7"
"1",2.44339968490667,1.48766528691817,1.48471150054899,1.5702747558172
"2",1.98997487421324,1.32996644164144,1.34863096146498,1.28301784103264
"3",0.14070529413629,0.934937969935424,0.951498023806659,0.3427674811919
"4",0.1,0.114591109608221,0.136964887304962,0.102416997809767
"5",0.2,0.350291598296484,0.280794871714055,0.229562685996612
"6",0.3,0.498142988168807,0.556710547820454,0.2849268083202
"7",-1,-0.742784163761384,-0.79056621824775,-1.22639594377539
"8",-0.2,-0.179677102037816,-0.18579293656284,0.0156275930990035
"9",0.1,0.390391074851982,0.373901299369453,0.0970062583159871
"10",0.2,0.165137196125929,0.178036431960841,0.2440162349109
"11",-0.1,-0.127379757275144,-0.13063898685368,-0.123164943093855
"12",1,1.15781697699958,1.15938330083872,0.990745088368123
"13",2,1.9609624510545,1.96040794994802,2.01079477776924
"14",1,1.04207024596993,1.04176759070187,1.05953835980624
